instant,data,season,ano,mes,hora,feriado,dia_semana,dia_util,clima,temperatura_normalizada,sensacao_termica_normalizada,umidade_normalizada,vento_normalizado,usuarios_casuais,usuarios_registrados,total_locacoes,periodo_dia,nivel_demanda,descricao_clima,descricao_estacao
30,2011-01-02,1,0,1,6,False,0,False,3,0.42,0.4242,0.77,0.2985,0,2,2,MANHA,BAIXA,CHUVA_NEVE_LEVE,PRIMAVERA
31,2011-01-02,1,0,1,7,False,0,False,2,0.4,0.4091,0.76,0.194,0,1,1,MANHA,BAIXA,NEVOA_NUBLADO,PRIMAVERA
32,2011-01-02,1,0,1,8,False,0,False,3,0.4,0.4091,0.71,0.2239,0,8,8,MANHA,BAIXA,CHUVA_NEVE_LEVE,PRIMAVERA
33,2011-01-02,1,0,1,9,False,0,False,2,0.38,0.3939,0.76,0.2239,1,19,20,MANHA,BAIXA,NEVOA_NUBLADO,PRIMAVERA
34,2011-01-02,1,0,1,10,False,0,False,2,0.36,0.3485,0.81,0.2239,7,46,53,MANHA,BAIXA,NEVOA_NUBLADO,PRIMAVERA
35,2011-01-02,1,0,1,11,False,0,False,2,0.36,0.3333,0.71,0.2537,16,54,70,MANHA,MEDIA,NEVOA_NUBLADO,PRIMAVERA
36,2011-01-02,1,0,1,12,False,0,False,2,0.36,0.3333,0.66,0.2985,20,73,93,TARDE,MEDIA,NEVOA_NUBLADO,PRIMAVERA
37,2011-01-02,1,0,1,13,False,0,False,2,0.36,0.3485,0.66,0.1343,11,64,75,TARDE,MEDIA,NEVOA_NUBLADO,PRIMAVERA
38,2011-01-02,1,0,1,14,False,0,False,3,0.36,0.3485,0.76,0.194,4,55,59,TARDE,BAIXA,CHUVA_NEVE_LEVE,PRIMAVERA
39,2011-01-02,1,0,1,15,False,0,False,3,0.34,0.3333,0.81,0.1642,19,55,74,TARDE,MEDIA,CHUVA_NEVE_LEVE,PRIMAVERA
40,2011-01-02,1,0,1,16,False,0,False,3,0.34,0.3333,0.71,0.1642,9,67,76,TARDE,MEDIA,CHUVA_NEVE_LEVE,PRIMAVERA
41,2011-01-02,1,0,1,17,False,0,False,1,0.34,0.3333,0.57,0.194,7,58,65,TARDE,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
42,2011-01-02,1,0,1,18,False,0,False,2,0.36,0.3333,0.46,0.3284,10,43,53,NOITE,BAIXA,NEVOA_NUBLADO,PRIMAVERA
43,2011-01-02,1,0,1,19,False,0,False,1,0.32,0.2879,0.42,0.4478,1,29,30,NOITE,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
44,2011-01-02,1,0,1,20,False,0,False,1,0.3,0.2727,0.39,0.3582,5,17,22,NOITE,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
45,2011-01-02,1,0,1,21,False,0,False,1,0.26,0.2273,0.44,0.3284,11,20,31,NOITE,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
46,2011-01-02,1,0,1,22,False,0,False,1,0.24,0.2121,0.44,0.2985,0,9,9,NOITE,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
47,2011-01-02,1,0,1,23,False,0,False,1,0.22,0.2273,0.47,0.1642,0,8,8,NOITE,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
48,2011-01-03,1,0,1,0,False,1,True,1,0.22,0.197,0.44,0.3582,0,5,5,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
49,2011-01-03,1,0,1,1,False,1,True,1,0.2,0.1667,0.44,0.4179,0,2,2,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
50,2011-01-03,1,0,1,4,False,1,True,1,0.16,0.1364,0.47,0.3881,0,1,1,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
51,2011-01-03,1,0,1,5,False,1,True,1,0.16,0.1364,0.47,0.2836,0,3,3,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
52,2011-01-03,1,0,1,6,False,1,True,1,0.14,0.1061,0.5,0.3881,0,30,30,MANHA,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
53,2011-01-03,1,0,1,7,False,1,True,1,0.14,0.1364,0.5,0.194,1,63,64,MANHA,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
54,2011-01-03,1,0,1,8,False,1,True,1,0.14,0.1212,0.5,0.2836,1,153,154,MANHA,MEDIA,LIMPO_POUCAS_NUVENS,PRIMAVERA
55,2011-01-03,1,0,1,9,False,1,True,1,0.16,0.1364,0.43,0.3881,7,81,88,MANHA,MEDIA,LIMPO_POUCAS_NUVENS,PRIMAVERA
56,2011-01-03,1,0,1,10,False,1,True,1,0.18,0.1667,0.43,0.2537,11,33,44,MANHA,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
57,2011-01-03,1,0,1,11,False,1,True,1,0.2,0.1818,0.4,0.3284,10,41,51,MANHA,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
58,2011-01-03,1,0,1,12,False,1,True,1,0.22,0.2121,0.35,0.2985,13,48,61,TARDE,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
59,2011-01-03,1,0,1,13,False,1,True,1,0.24,0.2121,0.35,0.2836,8,53,61,TARDE,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
60,2011-01-03,1,0,1,14,False,1,True,1,0.26,0.2424,0.3,0.2836,11,66,77,TARDE,MEDIA,LIMPO_POUCAS_NUVENS,PRIMAVERA
61,2011-01-03,1,0,1,15,False,1,True,1,0.26,0.2424,0.3,0.2537,14,58,72,TARDE,MEDIA,LIMPO_POUCAS_NUVENS,PRIMAVERA
62,2011-01-03,1,0,1,16,False,1,True,1,0.26,0.2424,0.3,0.2537,9,67,76,TARDE,MEDIA,LIMPO_POUCAS_NUVENS,PRIMAVERA
63,2011-01-03,1,0,1,17,False,1,True,1,0.24,0.2273,0.3,0.2239,11,146,157,TARDE,MEDIA,LIMPO_POUCAS_NUVENS,PRIMAVERA
64,2011-01-03,1,0,1,18,False,1,True,1,0.24,0.2576,0.32,0.1045,9,148,157,NOITE,MEDIA,LIMPO_POUCAS_NUVENS,PRIMAVERA
65,2011-01-03,1,0,1,19,False,1,True,1,0.2,0.2576,0.47,0.0,8,102,110,NOITE,MEDIA,LIMPO_POUCAS_NUVENS,PRIMAVERA
66,2011-01-03,1,0,1,20,False,1,True,1,0.2,0.2273,0.47,0.1045,3,49,52,NOITE,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
67,2011-01-03,1,0,1,21,False,1,True,1,0.18,0.197,0.64,0.1343,3,49,52,NOITE,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
68,2011-01-03,1,0,1,22,False,1,True,1,0.14,0.1515,0.69,0.1343,0,20,20,NOITE,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
69,2011-01-03,1,0,1,23,False,1,True,1,0.18,0.2121,0.55,0.1045,1,11,12,NOITE,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
70,2011-01-04,1,0,1,0,False,2,True,1,0.16,0.1818,0.55,0.1045,0,5,5,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
71,2011-01-04,1,0,1,1,False,2,True,1,0.16,0.1818,0.59,0.1045,0,2,2,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
72,2011-01-04,1,0,1,2,False,2,True,1,0.14,0.1515,0.63,0.1343,0,1,1,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
73,2011-01-04,1,0,1,4,False,2,True,1,0.14,0.1818,0.63,0.0896,0,2,2,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
74,2011-01-04,1,0,1,5,False,2,True,1,0.12,0.1515,0.68,0.1045,0,4,4,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
75,2011-01-04,1,0,1,6,False,2,True,1,0.12,0.1515,0.74,0.1045,0,36,36,MANHA,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
76,2011-01-04,1,0,1,7,False,2,True,1,0.12,0.1515,0.74,0.1343,2,92,94,MANHA,MEDIA,LIMPO_POUCAS_NUVENS,PRIMAVERA
77,2011-01-04,1,0,1,8,False,2,True,1,0.14,0.1515,0.69,0.1642,2,177,179,MANHA,MEDIA,LIMPO_POUCAS_NUVENS,PRIMAVERA
78,2011-01-04,1,0,1,9,False,2,True,1,0.16,0.1515,0.64,0.2239,2,98,100,MANHA,MEDIA,LIMPO_POUCAS_NUVENS,PRIMAVERA
79,2011-01-04,1,0,1,10,False,2,True,2,0.16,0.1364,0.69,0.3284,5,37,42,MANHA,BAIXA,NEVOA_NUBLADO,PRIMAVERA
80,2011-01-04,1,0,1,11,False,2,True,1,0.22,0.2121,0.51,0.2985,7,50,57,MANHA,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
81,2011-01-04,1,0,1,12,False,2,True,1,0.22,0.2273,0.51,0.1642,12,66,78,TARDE,MEDIA,LIMPO_POUCAS_NUVENS,PRIMAVERA
82,2011-01-04,1,0,1,13,False,2,True,1,0.24,0.2273,0.56,0.194,18,79,97,TARDE,MEDIA,LIMPO_POUCAS_NUVENS,PRIMAVERA
83,2011-01-04,1,0,1,14,False,2,True,1,0.26,0.2576,0.52,0.2239,9,54,63,TARDE,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
84,2011-01-04,1,0,1,15,False,2,True,1,0.28,0.2727,0.52,0.2537,17,48,65,TARDE,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
85,2011-01-04,1,0,1,16,False,2,True,1,0.3,0.2879,0.49,0.2537,15,68,83,TARDE,MEDIA,LIMPO_POUCAS_NUVENS,PRIMAVERA
86,2011-01-04,1,0,1,17,False,2,True,1,0.28,0.2727,0.48,0.2239,10,202,212,TARDE,MEDIA,LIMPO_POUCAS_NUVENS,PRIMAVERA
87,2011-01-04,1,0,1,18,False,2,True,1,0.26,0.2576,0.48,0.194,3,179,182,NOITE,MEDIA,LIMPO_POUCAS_NUVENS,PRIMAVERA
88,2011-01-04,1,0,1,19,False,2,True,1,0.24,0.2576,0.48,0.1045,2,110,112,NOITE,MEDIA,LIMPO_POUCAS_NUVENS,PRIMAVERA
89,2011-01-04,1,0,1,20,False,2,True,1,0.24,0.2576,0.48,0.1045,1,53,54,NOITE,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
90,2011-01-04,1,0,1,21,False,2,True,1,0.22,0.2727,0.64,0.0,0,48,48,NOITE,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
91,2011-01-04,1,0,1,22,False,2,True,1,0.22,0.2576,0.64,0.0896,1,34,35,NOITE,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
92,2011-01-04,1,0,1,23,False,2,True,1,0.2,0.2273,0.69,0.0896,2,9,11,NOITE,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
93,2011-01-05,1,0,1,0,False,3,True,1,0.2,0.2576,0.64,0.0,0,6,6,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
94,2011-01-05,1,0,1,1,False,3,True,1,0.16,0.197,0.74,0.0896,0,6,6,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
95,2011-01-05,1,0,1,2,False,3,True,1,0.16,0.197,0.74,0.0896,0,2,2,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
96,2011-01-05,1,0,1,4,False,3,True,1,0.24,0.2273,0.48,0.2239,0,2,2,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
97,2011-01-05,1,0,1,5,False,3,True,1,0.22,0.2273,0.47,0.1642,0,3,3,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
98,2011-01-05,1,0,1,6,False,3,True,1,0.2,0.197,0.47,0.2239,0,33,33,MANHA,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
99,2011-01-05,1,0,1,7,False,3,True,1,0.18,0.1818,0.43,0.194,1,87,88,MANHA,MEDIA,LIMPO_POUCAS_NUVENS,PRIMAVERA
100,2011-01-05,1,0,1,8,False,3,True,1,0.2,0.1818,0.4,0.2985,3,192,195,MANHA,MEDIA,LIMPO_POUCAS_NUVENS,PRIMAVERA
101,2011-01-05,1,0,1,9,False,3,True,1,0.22,0.197,0.37,0.3284,6,109,115,MANHA,MEDIA,LIMPO_POUCAS_NUVENS,PRIMAVERA
102,2011-01-05,1,0,1,10,False,3,True,1,0.22,0.197,0.37,0.3284,4,53,57,MANHA,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
103,2011-01-05,1,0,1,11,False,3,True,1,0.26,0.2273,0.33,0.3284,12,34,46,MANHA,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
104,2011-01-05,1,0,1,12,False,3,True,1,0.26,0.2273,0.33,0.3284,5,74,79,TARDE,MEDIA,LIMPO_POUCAS_NUVENS,PRIMAVERA
105,2011-01-05,1,0,1,13,False,3,True,1,0.28,0.2576,0.3,0.2985,6,65,71,TARDE,MEDIA,LIMPO_POUCAS_NUVENS,PRIMAVERA
106,2011-01-05,1,0,1,14,False,3,True,1,0.3,0.2879,0.28,0.194,10,52,62,TARDE,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
107,2011-01-05,1,0,1,15,False,3,True,1,0.3,0.2879,0.28,0.194,7,55,62,TARDE,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
108,2011-01-05,1,0,1,16,False,3,True,1,0.3,0.3182,0.28,0.0896,4,85,89,TARDE,MEDIA,LIMPO_POUCAS_NUVENS,PRIMAVERA
109,2011-01-05,1,0,1,17,False,3,True,1,0.24,0.2273,0.38,0.194,4,186,190,TARDE,MEDIA,LIMPO_POUCAS_NUVENS,PRIMAVERA
110,2011-01-05,1,0,1,18,False,3,True,1,0.24,0.2424,0.38,0.1343,3,166,169,NOITE,MEDIA,LIMPO_POUCAS_NUVENS,PRIMAVERA
111,2011-01-05,1,0,1,19,False,3,True,1,0.24,0.2576,0.38,0.1045,5,127,132,NOITE,MEDIA,LIMPO_POUCAS_NUVENS,PRIMAVERA
112,2011-01-05,1,0,1,20,False,3,True,1,0.22,0.2273,0.47,0.1642,7,82,89,NOITE,MEDIA,LIMPO_POUCAS_NUVENS,PRIMAVERA
113,2011-01-05,1,0,1,21,False,3,True,1,0.2,0.197,0.51,0.194,3,40,43,NOITE,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
114,2011-01-05,1,0,1,22,False,3,True,1,0.18,0.197,0.55,0.1343,1,41,42,NOITE,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
115,2011-01-05,1,0,1,23,False,3,True,1,0.2,0.2576,0.47,0.0,1,18,19,NOITE,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
116,2011-01-06,1,0,1,0,False,4,True,1,0.18,0.2424,0.55,0.0,0,11,11,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
117,2011-01-06,1,0,1,1,False,4,True,1,0.16,0.2273,0.64,0.0,0,4,4,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
118,2011-01-06,1,0,1,2,False,4,True,1,0.16,0.2273,0.64,0.0,0,2,2,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
119,2011-01-06,1,0,1,4,False,4,True,2,0.16,0.197,0.64,0.0896,0,1,1,MADRUGADA,BAIXA,NEVOA_NUBLADO,PRIMAVERA
120,2011-01-06,1,0,1,5,False,4,True,2,0.14,0.1818,0.69,0.0896,0,4,4,MADRUGADA,BAIXA,NEVOA_NUBLADO,PRIMAVERA
121,2011-01-06,1,0,1,6,False,4,True,2,0.14,0.1667,0.63,0.1045,0,36,36,MANHA,BAIXA,NEVOA_NUBLADO,PRIMAVERA
122,2011-01-06,1,0,1,7,False,4,True,2,0.16,0.2273,0.59,0.0,0,95,95,MANHA,MEDIA,NEVOA_NUBLADO,PRIMAVERA
123,2011-01-06,1,0,1,8,False,4,True,1,0.16,0.2273,0.59,0.0,3,216,219,MANHA,MEDIA,LIMPO_POUCAS_NUVENS,PRIMAVERA
124,2011-01-06,1,0,1,9,False,4,True,2,0.18,0.2424,0.51,0.0,6,116,122,MANHA,MEDIA,NEVOA_NUBLADO,PRIMAVERA
125,2011-01-06,1,0,1,10,False,4,True,1,0.2,0.2576,0.47,0.0,3,42,45,MANHA,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
126,2011-01-06,1,0,1,11,False,4,True,1,0.22,0.2576,0.44,0.0896,2,57,59,MANHA,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
127,2011-01-06,1,0,1,12,False,4,True,1,0.26,0.2879,0.35,0.0,6,78,84,TARDE,MEDIA,LIMPO_POUCAS_NUVENS,PRIMAVERA
128,2011-01-06,1,0,1,13,False,4,True,1,0.26,0.2727,0.35,0.1045,12,55,67,TARDE,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
129,2011-01-06,1,0,1,14,False,4,True,1,0.28,0.2727,0.36,0.1642,11,59,70,TARDE,MEDIA,LIMPO_POUCAS_NUVENS,PRIMAVERA
130,2011-01-06,1,0,1,15,False,4,True,1,0.28,0.2727,0.36,0.0,8,54,62,TARDE,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
131,2011-01-06,1,0,1,16,False,4,True,1,0.26,0.2576,0.38,0.1642,12,74,86,TARDE,MEDIA,LIMPO_POUCAS_NUVENS,PRIMAVERA
132,2011-01-06,1,0,1,17,False,4,True,1,0.22,0.2273,0.51,0.1642,9,163,172,TARDE,MEDIA,LIMPO_POUCAS_NUVENS,PRIMAVERA
133,2011-01-06,1,0,1,18,False,4,True,1,0.22,0.2273,0.51,0.1343,5,158,163,NOITE,MEDIA,LIMPO_POUCAS_NUVENS,PRIMAVERA
134,2011-01-06,1,0,1,19,False,4,True,1,0.22,0.2576,0.55,0.0896,3,109,112,NOITE,MEDIA,LIMPO_POUCAS_NUVENS,PRIMAVERA
135,2011-01-06,1,0,1,20,False,4,True,1,0.2,0.2121,0.51,0.1642,3,66,69,NOITE,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
136,2011-01-06,1,0,1,21,False,4,True,2,0.22,0.2121,0.55,0.2239,0,48,48,NOITE,BAIXA,NEVOA_NUBLADO,PRIMAVERA
137,2011-01-06,1,0,1,22,False,4,True,2,0.22,0.2121,0.51,0.2836,1,51,52,NOITE,BAIXA,NEVOA_NUBLADO,PRIMAVERA
138,2011-01-06,1,0,1,23,False,4,True,2,0.2,0.197,0.59,0.194,4,19,23,NOITE,BAIXA,NEVOA_NUBLADO,PRIMAVERA
139,2011-01-07,1,0,1,0,False,5,True,2,0.2,0.197,0.64,0.194,4,13,17,MADRUGADA,BAIXA,NEVOA_NUBLADO,PRIMAVERA
140,2011-01-07,1,0,1,1,False,5,True,2,0.2,0.197,0.69,0.2239,2,5,7,MADRUGADA,BAIXA,NEVOA_NUBLADO,PRIMAVERA
141,2011-01-07,1,0,1,2,False,5,True,2,0.2,0.197,0.69,0.2239,0,1,1,MADRUGADA,BAIXA,NEVOA_NUBLADO,PRIMAVERA
142,2011-01-07,1,0,1,4,False,5,True,2,0.2,0.2121,0.69,0.1343,0,1,1,MADRUGADA,BAIXA,NEVOA_NUBLADO,PRIMAVERA
143,2011-01-07,1,0,1,5,False,5,True,3,0.22,0.2727,0.55,0.0,0,5,5,MADRUGADA,BAIXA,CHUVA_NEVE_LEVE,PRIMAVERA
144,2011-01-07,1,0,1,6,False,5,True,2,0.2,0.2576,0.69,0.0,8,26,34,MANHA,BAIXA,NEVOA_NUBLADO,PRIMAVERA
145,2011-01-07,1,0,1,7,False,5,True,1,0.2,0.2121,0.69,0.1343,8,76,84,MANHA,MEDIA,LIMPO_POUCAS_NUVENS,PRIMAVERA
146,2011-01-07,1,0,1,8,False,5,True,1,0.2,0.197,0.51,0.2537,20,190,210,MANHA,MEDIA,LIMPO_POUCAS_NUVENS,PRIMAVERA
147,2011-01-07,1,0,1,9,False,5,True,1,0.2,0.1818,0.47,0.2985,9,125,134,MANHA,MEDIA,LIMPO_POUCAS_NUVENS,PRIMAVERA
148,2011-01-07,1,0,1,10,False,5,True,1,0.22,0.197,0.37,0.3284,16,47,63,MANHA,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
149,2011-01-07,1,0,1,11,False,5,True,2,0.2,0.197,0.4,0.2239,19,48,67,MANHA,BAIXA,NEVOA_NUBLADO,PRIMAVERA
150,2011-01-07,1,0,1,12,False,5,True,2,0.2,0.197,0.37,0.2537,9,50,59,TARDE,BAIXA,NEVOA_NUBLADO,PRIMAVERA
151,2011-01-07,1,0,1,13,False,5,True,2,0.2,0.1818,0.37,0.2836,9,64,73,TARDE,MEDIA,NEVOA_NUBLADO,PRIMAVERA
152,2011-01-07,1,0,1,14,False,5,True,2,0.2,0.197,0.4,0.2537,7,43,50,TARDE,BAIXA,NEVOA_NUBLADO,PRIMAVERA
153,2011-01-07,1,0,1,15,False,5,True,2,0.2,0.2121,0.37,0.1642,9,63,72,TARDE,MEDIA,NEVOA_NUBLADO,PRIMAVERA
154,2011-01-07,1,0,1,16,False,5,True,2,0.2,0.2121,0.37,0.1642,5,82,87,TARDE,MEDIA,NEVOA_NUBLADO,PRIMAVERA
155,2011-01-07,1,0,1,17,False,5,True,2,0.2,0.2576,0.37,0.0,9,178,187,TARDE,MEDIA,NEVOA_NUBLADO,PRIMAVERA
156,2011-01-07,1,0,1,18,False,5,True,1,0.2,0.2273,0.4,0.0896,7,116,123,NOITE,MEDIA,LIMPO_POUCAS_NUVENS,PRIMAVERA
157,2011-01-07,1,0,1,19,False,5,True,1,0.16,0.197,0.55,0.0896,3,92,95,NOITE,MEDIA,LIMPO_POUCAS_NUVENS,PRIMAVERA
158,2011-01-07,1,0,1,20,False,5,True,1,0.18,0.2121,0.47,0.1045,1,50,51,NOITE,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
159,2011-01-07,1,0,1,21,False,5,True,1,0.18,0.197,0.47,0.1343,0,39,39,NOITE,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
160,2011-01-07,1,0,1,22,False,5,True,2,0.18,0.197,0.43,0.1642,2,34,36,NOITE,BAIXA,NEVOA_NUBLADO,PRIMAVERA
